Parent Path;Parent Node;Name;Addition;Label;Path;Type;Level;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;zusatzDaten;;Dokument: Zusatz Daten;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;dateiRef;;Dokument: Datei Ref;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket;archivischerVorgang;vorgangstyp;;Archivischer Vorgang: Vorgangstyp;/paket/archivischerVorgang;element;per_aip;;
/paket;archivischerVorgang;beschreibung;;Archivischer Vorgang: Beschreibung;/paket/archivischerVorgang;element;per_aip;;
/paket;archivischerVorgang;datum;;Archivischer Vorgang: Datum;/paket/archivischerVorgang;element;per_aip;;
/paket;archivischerVorgang;bearbeiter;;Archivischer Vorgang: Bearbeiter;/paket/archivischerVorgang;element;per_aip;;
/paket;archivischeNotiz;id;;Archivische Notiz: Id;/paket/archivischeNotiz;element;per_aip;;
/paket;archivischeNotiz;notizDatum;;Archivische Notiz: Notiz Datum;/paket/archivischeNotiz;element;per_aip;;
/paket;archivischeNotiz;notizErfasser;;Archivische Notiz: Notiz Erfasser;/paket/archivischeNotiz;element;per_aip;;
/paket;archivischeNotiz;notizBeschreibung;;Archivische Notiz: Notiz Beschreibung;/paket/archivischeNotiz;element;per_aip;;
;file;filenamewithoutextension;;File: Filenamewithoutextension;;metadata;per_file;;
;file;pathslice;;File: Pathslice;;metadata;per_aip;;
